Year,Month,Day of the Week,Hour,Location Type,Status,Day Part
2014,January,Wednesday,7,Apartment,Stolen,Morning
2014,January,Wednesday,18,"Single Home, House",Recovered,Evening
2014,January,Wednesday,12,Apartment,Stolen,Afternoon
2014,January,Friday,8,Private Property Structure,Stolen,Morning
2014,January,Saturday,18,Apartment,Stolen,Evening
2014,January,Saturday,20,"Single Home, House",Stolen,Evening
2014,January,Sunday,21,"Single Home, House",Unknown,Evening
2014,January,Sunday,23,Bar / Restaurant,Stolen,Evening
2014,January,Wednesday,20,Apartment,Stolen,Evening
2014,January,Tuesday,8,Private Property Structure,Stolen,Morning
2014,January,Friday,6,"Streets, Roads, Highways",Stolen,Morning
2014,January,Friday,9,"Streets, Roads, Highways",Stolen,Morning
2014,January,Saturday,7,"Single Home, House",Stolen,Morning
2014,January,Saturday,7,"Single Home, House",Stolen,Morning
2014,January,Saturday,23,Apartment,Stolen,Evening
2014,January,Monday,6,Private Property Structure,Stolen,Morning
2014,January,Wednesday,17,Apartment,Stolen,Afternoon
2014,January,Tuesday,10,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2014,January,Tuesday,8,Schools During Supervised Activity,Stolen,Morning
2014,January,Wednesday,21,"Streets, Roads, Highways",Stolen,Evening
2014,January,Sunday,10,Apartment,Stolen,Morning
2014,January,Saturday,4,"Single Home, House",Stolen,Overnight
2014,January,Thursday,14,Private Property Structure,Stolen,Afternoon
2014,January,Thursday,13,"Single Home, House",Stolen,Afternoon
2014,January,Friday,20,"Streets, Roads, Highways",Stolen,Evening
2014,January,Wednesday,19,Convenience Stores,Unknown,Evening
2014,January,Sunday,12,Parking Lots,Stolen,Afternoon
2014,January,Saturday,18,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2014,January,Tuesday,19,Apartment,Stolen,Evening
2014,January,Monday,17,Parking Lots,Stolen,Afternoon
2014,January,Tuesday,21,Parking Lots,Stolen,Evening
2014,January,Monday,17,Parking Lots,Stolen,Afternoon
2014,January,Tuesday,15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2014,January,Wednesday,8,Construction Site,Stolen,Morning
2014,January,Friday,11,Ttc Subway Station,Stolen,Morning
2014,February,Sunday,1,Apartment,Unknown,Overnight
2014,February,Saturday,15,Parking Lots,Stolen,Afternoon
2014,February,Monday,19,Private Property Structure,Stolen,Evening
2014,January,Monday,9,"Single Home, House",Stolen,Morning
2014,February,Tuesday,18,Parking Lots,Stolen,Evening
2014,January,Friday,15,Private Property Structure,Stolen,Afternoon
2014,February,Tuesday,17,Apartment,Stolen,Afternoon
2014,February,Friday,17,"Streets, Roads, Highways",Stolen,Afternoon
2014,January,Saturday,8,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2014,February,Friday,20,Construction Site,Stolen,Evening
2014,February,Friday,20,Construction Site,Stolen,Evening
2014,January,Wednesday,18,Apartment,Stolen,Evening
2014,February,Tuesday,10,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2014,February,Wednesday,9,Parking Lots,Stolen,Morning
2014,February,Saturday,18,"Streets, Roads, Highways",Stolen,Evening
2014,February,Sunday,19,"Single Home, House",Stolen,Evening
2014,February,Sunday,20,"Streets, Roads, Highways",Stolen,Evening
2014,January,Friday,6,"Streets, Roads, Highways",Stolen,Morning
2014,February,Friday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,February,Sunday,14,Parking Lots,Stolen,Afternoon
2014,February,Wednesday,23,"Single Home, House",Stolen,Evening
2014,February,Thursday,10,Gas Station,Stolen,Morning
2014,February,Monday,9,"Single Home, House",Stolen,Morning
2014,February,Monday,20,"Streets, Roads, Highways",Stolen,Evening
2014,February,Sunday,20,"Single Home, House",Stolen,Evening
2014,February,Tuesday,8,"Streets, Roads, Highways",Stolen,Morning
2014,February,Sunday,14,Private Property Structure,Stolen,Afternoon
2014,February,Sunday,14,Private Property Structure,Stolen,Afternoon
2014,February,Sunday,14,Private Property Structure,Stolen,Afternoon
2014,March,Monday,20,Other Non Commercial / Corporate Places,Stolen,Evening
2014,March,Monday,19,"Streets, Roads, Highways",Stolen,Evening
2014,March,Tuesday,21,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2014,March,Wednesday,8,Parking Lots,Stolen,Morning
2014,March,Wednesday,8,Parking Lots,Stolen,Morning
2014,March,Wednesday,20,Apartment,Stolen,Evening
2014,March,Thursday,9,Open Areas,Stolen,Morning
2014,March,Friday,10,"Single Home, House",Stolen,Morning
2014,March,Wednesday,10,"Streets, Roads, Highways",Stolen,Morning
2014,March,Saturday,7,Private Property Structure,Stolen,Morning
2014,March,Saturday,16,"Streets, Roads, Highways",Stolen,Afternoon
2014,February,Sunday,15,"Single Home, House",Stolen,Afternoon
2014,March,Saturday,22,"Streets, Roads, Highways",Stolen,Evening
2014,March,Friday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,March,Saturday,9,Parking Lots,Stolen,Morning
2014,March,Monday,19,Apartment,Stolen,Evening
2014,March,Monday,17,Private Property Structure,Stolen,Afternoon
2014,March,Monday,17,Private Property Structure,Stolen,Afternoon
2014,March,Monday,22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2014,January,Wednesday,11,Ttc Subway Station,Stolen,Morning
2014,March,Saturday,19,"Streets, Roads, Highways",Stolen,Evening
2014,March,Wednesday,19,Group Homes,Stolen,Evening
2014,March,Tuesday,11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2014,March,Sunday,9,"Single Home, House",Stolen,Morning
2014,March,Tuesday,17,Apartment,Stolen,Afternoon
2014,March,Wednesday,17,Universities / Colleges,Stolen,Afternoon
2014,March,Thursday,13,"Streets, Roads, Highways",Stolen,Afternoon
2014,March,Monday,21,"Single Home, House",Stolen,Evening
2014,March,Wednesday,3,"Single Home, House",Stolen,Overnight
2014,March,Friday,19,"Streets, Roads, Highways",Stolen,Evening
2014,March,Wednesday,10,"Streets, Roads, Highways",Stolen,Morning
2014,March,Wednesday,3,"Single Home, House",Stolen,Overnight
2014,March,Friday,9,Private Property Structure,Stolen,Morning
2014,March,Sunday,23,"Single Home, House",Stolen,Evening
2014,March,Monday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,March,Tuesday,6,Hospital / Institutions / Medical Facilities,Stolen,Morning
2014,March,Thursday,7,Parking Lots,Unknown,Morning
2014,March,Thursday,6,Parking Lots,Stolen,Morning
2014,March,Thursday,4,"Streets, Roads, Highways",Stolen,Overnight
2014,March,Thursday,20,Convenience Stores,Stolen,Evening
2014,March,Friday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,March,Saturday,15,"Streets, Roads, Highways",Stolen,Afternoon
